name,cv,test,n_feats
L20_25_pca64+24_C0.05,0.7382960342201363,0.8153571723418751,237
L20_25_pca24+24_C0.02,0.7415873232461703,0.8152116999344949,157
L20_25_pca64+24_C0.02,0.7349650545715452,0.8149299409160026,237
L20_25_pca64+24_C0.1,0.7418425878168693,0.814583648605233,237
L20_25_pca24+24_C0.05,0.7476001663413762,0.8137992964021686,157
L20_25_pca48+24_C0.05,0.7400424844378171,0.8133997952417739,205
L20_25_pca48+24_C0.02,0.7361684296866873,0.813287008406391,205
L20_25_pca64+16_C0.05,0.7363130224323134,0.8124730266864091,221
L20_25_pca48+24_C0.1,0.7441802416469289,0.8120170072634743,205
L20_25_pca64+16_C0.1,0.7404667158713509,0.8114085862158075,221
L20_25_pca48+16_C0.05,0.737702264084029,0.8106502191305505,189
L20_25_pca64+16_C0.02,0.7320362534137486,0.810377308783504,221
L20_25_pca48+16_C0.1,0.7428472959746871,0.8100454333707985,189
L20_25_pca24+24_C0.1,0.7529404731381051,0.8094820902993325,157
L20_25_pca48+16_C0.02,0.7330710773079702,0.8091880736191543,189
L20_25_pca24+16_C0.05,0.7457324579285575,0.809135796296407,141
L20_25_pca24+16_C0.02,0.737683738131395,0.8091086284045468,141
L20_25_pca64+32_C0.1,0.7452732341401823,0.8090456696805749,253
L20_25_pca64+8_C0.1,0.7404371035214973,0.808652348126901,205
L20_25_pca16+24_C0.02,0.7402545570997449,0.8085439282180038,141
L20_25_pca64+32_C0.05,0.742559843120109,0.8084504179439502,253
L20_25_pca64+8_C0.05,0.7355259946442156,0.8075521608837021,205
L20_25_pca64+32_C0.02,0.7400292036288199,0.807358093458233,253
ablation_unc_only,0.7402366681403006,0.8071512110020431,118
ablation_unc+moe,0.7402366681403006,0.8071512110020431,137
ablation_no_hidden_states,0.7402366681403006,0.8071512110020431,137
L20_25_pca16+24_C0.05,0.7460996614320848,0.8071322040588488,141
L20_25_pca48+32_C0.05,0.743648621270788,0.8070924443709298,221
L20_25_pca48+32_C0.1,0.7469870143265697,0.8070870721771066,221
L20_25_pca24+16_C0.1,0.7522466081150603,0.8065499864589685,141
L20_25_pca32+24_C0.02,0.7398876795936762,0.8064325397665535,173
L20_25_pca48+32_C0.02,0.740787105442234,0.8062138857106955,221
L20_25_pca48+8_C0.1,0.7425661203183471,0.8058920500436296,173
L20_25_pca24+32_C0.02,0.743479477391094,0.8054531877680069,173
L20_25_pca64+4_C0.05,0.7348711544537756,0.8053399583073952,197
L20_25_pca64+4_C0.1,0.7379567847458757,0.8051368812651266,197
L20_25_pca32+24_C0.05,0.744884174274007,0.8049939425500747,173
L20_25_pca48+8_C0.05,0.7364155557628083,0.8049249606805288,173
L20_25_pca8+24_C0.02,0.7409549128468125,0.8047204369223551,125
L20_25_pca24+8_C0.02,0.7343981856764177,0.8046916786006145,125
L20_25_pca64+8_C0.02,0.7302685190456476,0.8045859541452103,205
L20_25_pca24+4_C0.02,0.7349783823183966,0.8043356404321775,117
L20_25_pca24+32_C0.05,0.7487346018173684,0.8043246404841273,173
L20_25_pca64+4_C0.02,0.7299881787171354,0.8042488711212259,197
L20_25_pca16+24_C0.1,0.7509538567869135,0.8042280777446889,141
L20_25_pca24+8_C0.05,0.7445058994705364,0.8041483206715367,125
L20_25_pca8+24_C0.05,0.7466917210178408,0.8030409683745519,125
L20_25_pca16+16_C0.05,0.7449801698624239,0.8029086017779117,125
L20_25_pca48+4_C0.05,0.735961135703532,0.8028962083977335,165
L20_25_pca32+24_C0.1,0.7497096674183699,0.8028871196381555,173
L20_25_pca24+4_C0.05,0.7436660839574747,0.8028213182822629,117
L20_25_pca24+32_C0.1,0.753022657534158,0.8028034467293571,173
L20_25_pca48+8_C0.02,0.7306201030796619,0.8027246116727993,173
L20_25_pca24+8_C0.1,0.7517523616142266,0.8026104145602408,125
L20_25_pca16+16_C0.02,0.7373237320283613,0.8021794343539832,125
L20_25_pca16+32_C0.02,0.7430022138904403,0.8020174662160905,157
L20_25_pca8+32_C0.02,0.7436343409545803,0.8018832566940418,141
L20_25_pca48+4_C0.1,0.7400428869669579,0.8017552937348693,165
L20_25_pca16+32_C0.05,0.7477962194825165,0.8013569943463351,157
L20_25_pca16+16_C0.1,0.7504958164474254,0.8010983045735867,125
L20_25_pca48+4_C0.02,0.7307289623091007,0.8010815500640986,165
L20_25_pca24+4_C0.1,0.7492375812522634,0.800942710528411,117
L20_25_pca8+32_C0.05,0.7485487567662559,0.800517792874108,141
L20_25_pca16+32_C0.1,0.7519433429643991,0.800502872824139,157
L20_25_pca8+24_C0.1,0.7505009662979695,0.800481889218158,125
L20_25_pca32+16_C0.02,0.736839553006025,0.8003662997235842,157
L20_25_pca32+16_C0.05,0.7431440852967749,0.8000232450965928,157
ablation_no_moe_routing,0.7431440852967749,0.8000232450965928,138
L20_25_pca32+16_C0.05,0.7431440852967749,0.8000232450965928,157
ablation_all_scalars,0.7431440852967749,0.8000232450965928,157
ablation_unc+hs,0.7431440852967749,0.8000232450965928,138
L5_20_25_pca32+16_C0.05,0.7431440852967749,0.8000232450965928,157
L20_25_pca8+32_C0.1,0.7520555101090194,0.798930337818688,141
L20_25_diff_C0.02,0.7400710973900987,0.7987920619643867,177
L20_25_pca8+16_C0.02,0.7378347337397491,0.7987134918562024,109
L20_25_pca32+16_C0.1,0.7485996208457653,0.7981541482573227,157
L20_25_pca8+16_C0.05,0.7442257051672139,0.7979793272587423,109
L20_25_pca32+32_C0.02,0.74279533444941,0.7979310145485928,189
L20_25_diff_C0.05,0.7466453566250303,0.7973199276229009,177
L20_25_diff_C0.1,0.7517539848157441,0.796914708760405,177
L25_diff_C0.05,0.7355266999826218,0.7967610635256164,117
L20_25_pca32+32_C0.05,0.7468963856222627,0.796731879662303,189
L20_25_pca8+16_C0.1,0.7487278793122216,0.7964583698665131,109
L20_25_pca32+32_C0.1,0.7510754610978057,0.7962352446455538,189
L25_diff_C0.02,0.7275251977254851,0.7961578571365484,117
L20_pca32+16_C0.05,0.7319514749500629,0.795975710515354,107
L25_diff_C0.1,0.7409644534025245,0.7955686947778513,117
L20_25_pca8+8_C0.02,0.7353592123509151,0.7952371306165247,93
L20_25_pca16+8_C0.02,0.7343831151397466,0.7951890202416655,109
L0_25_pca32+16_C0.05,0.7326747805845073,0.7949647957142114,107
L25_pca32+16_C0.05,0.7326747805845073,0.7949647957142114,107
L15_25_pca32+16_C0.05,0.7488429631767797,0.794900129748474,157
L20_25_pca8+8_C0.05,0.7435536512661137,0.794847648421235,93
L20_25_pca16+8_C0.05,0.7434981912781418,0.7947983501094367,109
L20_25_pca8+4_C0.02,0.7335356184096604,0.7946221844517494,85
L20_25_pca32+8_C0.05,0.7413914779118078,0.7945424779567807,141
L20_25_pca8+8_C0.1,0.7484232594893271,0.7942165698612959,93
L20_25_pca32+8_C0.1,0.7477710015225666,0.7942152634275161,141
L20_25_pca32+8_C0.02,0.7337303936075926,0.7938326624355178,141
L20_25_pca16+8_C0.1,0.7502571699198578,0.7937077210568475,109
L20_25_pca16+4_C0.02,0.7338124403936123,0.7935493068940093,101
L20_25_pca32+4_C0.02,0.7341253444294213,0.7929172047988703,133
L20_25_pca16+4_C0.05,0.7421972411928435,0.7929145551403994,101
L20_25_pca8+4_C0.05,0.7392575034555284,0.7921555972875088,85
L20_25_pca32+4_C0.05,0.7407921373123295,0.7921254815383877,133
L15_20_25_pca32+16_C0.05,0.7543008221962848,0.7913326371839962,207
L20_25_pca32+4_C0.1,0.7450467428428905,0.7898423920272127,133
L20_25_pca8+4_C0.1,0.7414699152388387,0.7898049648086938,85
L20_25_pca16+4_C0.1,0.746353762965092,0.7897286842691548,101
ablation_no_uncertainty,0.7392072760300155,0.7864362463481143,139
ablation_hs_only,0.7392072760300155,0.7864362463481143,120
L15_20_pca32+16_C0.05,0.747045918071619,0.7862329958936707,157
L10_20_25_pca32+16_C0.05,0.7468164973602731,0.7861184183621573,207
ablation_moe_only,0.728254324764022,0.7765023187924415,119
L10_25_pca32+16_C0.05,0.739754002285924,0.7750351530894597,157
